date,county,state,fips,cases,deaths 
2020-08-28,Boulder,Colorado,08013,2283,79
2020-08-29,Boulder,Colorado,08013,2289,79
2020-08-30,Boulder,Colorado,08013,2295,79
2020-08-31,Boulder,Colorado,08013,2316,79
2020-09-01,Boulder,Colorado,08013,2324,79
2020-09-02,Boulder,Colorado,08013,2344,79
2020-09-03,Boulder,Colorado,08013,2361,79
2020-09-04,Boulder,Colorado,08013,2399,79
2020-09-05,Boulder,Colorado,08013,2413,79
2020-09-06,Boulder,Colorado,08013,2478,79
2020-09-07,Boulder,Colorado,08013,2482,79
2020-09-08,Boulder,Colorado,08013,2502,79
2020-09-09,Boulder,Colorado,08013,2574,79
2020-09-10,Boulder,Colorado,08013,2621,79
2020-09-11,Boulder,Colorado,08013,2671,79
2020-09-12,Boulder,Colorado,08013,2759,79
2020-09-13,Boulder,Colorado,08013,2794,79
2020-09-14,Boulder,Colorado,08013,2877,79
2020-09-15,Boulder,Colorado,08013,2989,79
2020-09-16,Boulder,Colorado,08013,3060,79
